outlet_scale,alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
0.09,equal,1.1,0.8,-0.18,True,1581.8075567151604,1782.4918783660619,12.687025093472792
0.09,equal,1.1,0.8,-0.1,True,1581.8075567151604,1781.3785878745998,12.61664418735462
0.09,equal,1.1,1.0,-0.3,True,1591.2942898732067,1803.300411437516,13.322873268225056
0.09,equal,1.1,1.0,-0.18,True,1591.3512781203285,1803.300411437516,13.318815036711285
0.09,equal,1.1,1.0,-0.1,True,1591.3512781203285,1800.804484977686,13.16197182464698
0.09,equal,1.35,0.65,-0.3,True,1580.5970640862188,1771.8222247699887,12.098286465837639
0.09,equal,1.35,0.65,-0.18,True,1581.458016390328,1771.8222247699887,12.037259693694935
0.09,equal,1.35,0.65,-0.1,True,1581.458016390328,1772.5189420430602,12.081315069547527
0.09,equal,1.35,0.8,-0.3,True,1584.2484929273123,1782.9735459742903,12.543805718241941
0.09,equal,1.35,0.8,-0.18,True,1581.8075567151604,1783.8778075009507,12.774641891673388
0.09,equal,1.35,0.8,-0.1,True,1582.2923204243052,1782.4918783660619,12.652501396712301
0.09,equal,1.35,1.0,-0.3,True,1591.2942898732067,1804.642311800448,13.407200873211234
0.09,equal,1.35,1.0,-0.18,True,1591.3512781203285,1803.5626110857102,13.33529157786213
0.09,equal,1.35,1.0,-0.1,True,1591.3512781203285,1807.362507364978,13.574075831943123
0.09,equal,1.6,0.65,-0.3,True,1580.5970640862188,1773.6952139786663,12.21678530727135
0.09,equal,1.6,0.65,-0.18,True,1581.458016390328,1771.8222247699887,12.037259693694935
0.09,equal,1.6,0.65,-0.1,True,1581.458016390328,1772.5189420430602,12.081315069547527
0.09,equal,1.6,0.8,-0.3,True,1584.2484929273123,1785.3873005326122,12.696165311392749
0.09,equal,1.6,0.8,-0.18,True,1581.8075567151604,1783.8778075009507,12.774641891673388
0.09,equal,1.6,0.8,-0.1,True,1582.2923204243052,1783.8778075009507,12.740091351931015
0.09,equal,1.6,1.0,-0.3,True,1591.2942898732067,1805.284898071514,13.447582232910404
0.09,equal,1.6,1.0,-0.18,True,1591.3512781203285,1804.5526777360603,13.397507046185364
0.09,equal,1.6,1.0,-0.1,True,1591.3512781203285,1807.6247070131722,13.590552373093967
0.09,weak_front,1.1,0.65,-0.3,True,1581.7619625052243,1773.8882189527594,12.146344456484591
0.09,weak_front,1.1,0.65,-0.18,True,1581.8075567151604,1772.6006802097922,12.061715262685912
0.09,weak_front,1.1,0.65,-0.1,True,1582.2923204243052,1772.5991016166477,12.027283374623842
0.09,weak_front,1.1,0.8,-0.3,True,1587.0026651519117,1784.850448720848,12.466758116628473
0.09,weak_front,1.1,0.8,-0.18,True,1587.5870982380052,1787.6056910509215,12.598905158331686
0.09,weak_front,1.1,0.8,-0.1,True,1588.291025803032,1787.6056910509215,12.549001537493233
0.09,weak_front,1.1,1.0,-0.3,True,1592.0519787272451,1804.5832442814146,13.349518005315142
0.09,weak_front,1.1,1.0,-0.18,True,1592.22202508705,1806.925157684888,13.484497087402092
0.09,weak_front,1.1,1.0,-0.1,True,1592.22202508705,1806.7624229082194,13.474276479088388
0.09,weak_front,1.35,0.65,-0.3,True,1581.7619625052243,1778.3833444269853,12.430529155622661
0.09,weak_front,1.35,0.65,-0.18,True,1581.8075567151604,1773.8882189527594,12.14311193685791
0.09,weak_front,1.35,0.65,-0.1,True,1582.2923204243052,1773.2526421525604,12.068586775233015
0.09,weak_front,1.35,0.8,-0.3,True,1587.0026651519117,1789.274284538923,12.745512268415094
0.09,weak_front,1.35,0.8,-0.18,True,1588.6184342400472,1788.9765771443285,12.612099833785905
0.09,weak_front,1.35,0.8,-0.1,True,1588.291025803032,1788.6048940025144,12.611912108374757
0.09,weak_front,1.35,1.0,-0.3,True,1592.0519787272451,1804.5832442814146,13.349518005315142
0.09,weak_front,1.35,1.0,-0.18,True,1592.22202508705,1807.9951431188838,13.551697855708088
0.09,weak_front,1.35,1.0,-0.1,True,1592.3039312293536,1806.9378321400554,13.479455567568156
0.09,weak_front,1.6,0.65,-0.3,True,1583.05695951692,1778.7621687340834,12.362486898568958
0.09,weak_front,1.6,0.65,-0.18,True,1581.8075567151604,1775.382383854339,12.237571272017632
0.09,weak_front,1.6,0.65,-0.1,True,1582.2923204243052,1775.9206160180959,12.237201248746988
0.09,weak_front,1.6,0.8,-0.3,True,1587.0026651519117,1789.5399280163638,12.762250959740173
0.09,weak_front,1.6,0.8,-0.18,True,1588.6184342400472,1788.9765771443285,12.612099833785905
0.09,weak_front,1.6,0.8,-0.1,True,1588.291025803032,1788.9765771443285,12.635313559102368
0.09,weak_front,1.6,1.0,-0.3,True,1592.0519787272451,1805.2621342282382,13.39216045392202
