alpha_profile,peak_exponent,phase_scale,tstar_load_exponent,all_conditions_feasible,weighted_power_10_kW,weighted_power_5_kW,weighted_power_increase_pct
central_front,1.3,1.0,-0.18,True,1978.6134888973843,2110.7632520439593,6.678907421187019
central_front,1.3,1.0,-0.1,True,1978.8159209084733,2108.3754224149666,6.5473245963683535
central_front,1.6,0.65,-0.3,True,1972.7629016964167,2088.931518021923,5.888625350041332
central_front,1.6,0.65,-0.18,True,1965.8285795362033,2089.293280252554,6.2805425662027625
central_front,1.6,0.65,-0.1,True,1973.8206040880702,2100.146080081578,6.400048501463074
central_front,1.6,0.8,-0.3,True,1969.287936100303,2097.873541410965,6.529548216564751
central_front,1.6,0.8,-0.18,True,1975.9336363036082,2098.236772029816,6.189637823818894
central_front,1.6,0.8,-0.1,True,1970.1597630407175,2105.446063923406,6.86676803681594
central_front,1.6,1.0,-0.3,True,1978.2885990263958,2111.427454217426,6.730001641648942
central_front,1.6,1.0,-0.18,True,1979.115213624712,2112.2879926690293,6.728904822090365
central_front,1.6,1.0,-0.1,True,1976.5850225237468,2113.1493929482795,6.909106811411747
